T96060000001	1A03_HUMAN
T96060000002	1A1L1_HUMAN
T96060000003	1A1L1_HUMAN
T96060000004	1A1L2_HUMAN
T96060000005	1A1L2_HUMAN
T96060000006	1A1L2_HUMAN
T96060000007	1A23_HUMAN
T96060000008	1A23_HUMAN
T96060000009	1A25_HUMAN
T96060000010	1A25_HUMAN
T96060000011	1A25_HUMAN
T96060000012	1A26_HUMAN
T96060000013	1A26_HUMAN
T96060000014	1A26_HUMAN
T96060000015	1A29_HUMAN
T96060000016	1A29_HUMAN
T96060000017	1A29_HUMAN
T96060000018	1A30_HUMAN
T96060000019	1A31_HUMAN
T96060000020	1A31_HUMAN
T96060000021	1A32_HUMAN
T96060000022	1A33_HUMAN
T96060000023	1A33_HUMAN
T96060000024	1A33_HUMAN
T96060000025	1A34_HUMAN
T96060000026	1A34_HUMAN
T96060000027	1A34_HUMAN
T96060000028	1A36_HUMAN
T96060000029	1A36_HUMAN
T96060000030	1A36_HUMAN
T96060000031	1A43_HUMAN
T96060000032	1A43_HUMAN
T96060000033	1A43_HUMAN
T96060000034	1A66_HUMAN
T96060000035	1A66_HUMAN
T96060000036	1A66_HUMAN
T96060000037	1A68_HUMAN
T96060000038	1A68_HUMAN
T96060000039	1A69_HUMAN
T96060000040	1A74_HUMAN
T96060000041	1A74_HUMAN
T96060000042	1A74_HUMAN
T96060000043	1A80_HUMAN
T96060000044	1A80_HUMAN
T96060000045	1A80_HUMAN
T96060000046	1B08_HUMAN
T96060000047	1B13_HUMAN
T96060000048	1B14_HUMAN
T96060000049	1B14_HUMAN
T96060000050	1B15_HUMAN
T96060000051	1B15_HUMAN
T96060000052	1B18_HUMAN
T96060000053	1B18_HUMAN
T96060000054	1B35_HUMAN
T96060000055	1B35_HUMAN
T96060000056	1B35_HUMAN
T96060000057	1B37_HUMAN
T96060000058	1B37_HUMAN
T96060000059	1B38_HUMAN
T96060000060	1B38_HUMAN
T96060000061	1B38_HUMAN
T96060000062	1B39_HUMAN
T96060000063	1B39_HUMAN
T96060000064	1B40_HUMAN
T96060000065	1B40_HUMAN
T96060000066	1B40_HUMAN
T96060000067	1B41_HUMAN
T96060000068	1B41_HUMAN
T96060000069	1B41_HUMAN
T96060000070	1B42_HUMAN
T96060000071	1B42_HUMAN
T96060000072	1B42_HUMAN
T96060000073	1B44_HUMAN
T96060000074	1B44_HUMAN
T96060000075	1B44_HUMAN
T96060000076	1B45_HUMAN
T96060000077	1B45_HUMAN
T96060000078	1B45_HUMAN
T96060000079	1B46_HUMAN
T96060000080	1B46_HUMAN
T96060000081	1B46_HUMAN
T96060000082	1B47_HUMAN
T96060000083	1B47_HUMAN
T96060000084	1B47_HUMAN
T96060000085	1B48_HUMAN
T96060000086	1B48_HUMAN
T96060000087	1B48_HUMAN
T96060000088	1B49_HUMAN
T96060000089	1B49_HUMAN
T96060000090	1B49_HUMAN
T96060000091	1B50_HUMAN
T96060000092	1B50_HUMAN
T96060000093	1B50_HUMAN
T96060000094	1B52_HUMAN
T96060000095	1B52_HUMAN
T96060000096	1B52_HUMAN
T96060000097	1B53_HUMAN
T96060000098	1B53_HUMAN
T96060000099	1B53_HUMAN
T96060000100	1B54_HUMAN
T96060000101	1B54_HUMAN
T96060000102	1B54_HUMAN
T96060000103	1B55_HUMAN
T96060000104	1B55_HUMAN
T96060000105	1B55_HUMAN
T96060000106	1B56_HUMAN
T96060000107	1B56_HUMAN
T96060000108	1B56_HUMAN
T96060000109	1B57_HUMAN
T96060000110	1B57_HUMAN
T96060000111	1B58_HUMAN
T96060000112	1B58_HUMAN
T96060000113	1B58_HUMAN
T96060000114	1B59_HUMAN
T96060000115	1B59_HUMAN
T96060000116	1B59_HUMAN
T96060000117	1B67_HUMAN
T96060000118	1B67_HUMAN
T96060000119	1B73_HUMAN
T96060000120	1B73_HUMAN
T96060000121	1B73_HUMAN
T96060000122	1B78_HUMAN
T96060000123	1B78_HUMAN
T96060000124	1B78_HUMAN
T96060000125	1B81_HUMAN
T96060000126	1B81_HUMAN
T96060000127	1B81_HUMAN
T96060000128	1B82_HUMAN
T96060000129	1B82_HUMAN
T96060000130	1C02_HUMAN
T96060000131	1C02_HUMAN
T96060000132	1C03_HUMAN
T96060000133	1C04_HUMAN
T96060000134	1C04_HUMAN
T96060000135	1C05_HUMAN
T96060000136	1C05_HUMAN
T96060000137	1C06_HUMAN
T96060000138	1C06_HUMAN
T96060000139	1C07_HUMAN
T96060000140	1C07_HUMAN
T96060000141	1C08_HUMAN
T96060000142	1C08_HUMAN
T96060000143	1C08_HUMAN
T96060000144	1C12_HUMAN
T96060000145	1C12_HUMAN
T96060000146	1C12_HUMAN
T96060000147	1C14_HUMAN
T96060000148	1C14_HUMAN
T96060000149	1C14_HUMAN
T96060000150	1C15_HUMAN
T96060000151	1C15_HUMAN
T96060000152	1C15_HUMAN
T96060000153	1C16_HUMAN
T96060000154	1C16_HUMAN
T96060000155	1C16_HUMAN
T96060000156	1C17_HUMAN
T96060000157	1C17_HUMAN
T96060000158	1C17_HUMAN
T96060000159	1C18_HUMAN
T96060000160	1C18_HUMAN
T96060000161	1C18_HUMAN
T96060000162	2A5B_HUMAN
T96060000163	2A5B_HUMAN
T96060000164	2A5B_HUMAN
T96060000165	2A5D_HUMAN
T96060000166	2A5E_HUMAN
T96060000167	2A5E_HUMAN
T96060000168	2AAB_HUMAN
T96060000169	2ABB_HUMAN
T96060000170	2ABB_HUMAN
T96060000171	2ABB_HUMAN
T96060000172	2ABD_HUMAN
T96060000173	2ABD_HUMAN
T96060000174	2ABD_HUMAN
T96060000175	2ABG_HUMAN
T96060000176	2ABG_HUMAN
T96060000177	2ABG_HUMAN
T96060000178	2B11_HUMAN
T96060000179	2B18_HUMAN
T96060000180	2B18_HUMAN
T96060000181	2B19_HUMAN
T96060000182	2B19_HUMAN
T96060000183	2B1A_HUMAN
T96060000184	2B1A_HUMAN
T96060000185	2B1B_HUMAN
T96060000186	2B1B_HUMAN
T96060000187	2B1C_HUMAN
T96060000188	2B1C_HUMAN
T96060000189	2B1D_HUMAN
T96060000190	2B1D_HUMAN
T96060000191	2B1E_HUMAN
T96060000192	2B1E_HUMAN
T96060000193	2B1G_HUMAN
T96060000194	2B1G_HUMAN
T96060000195	3BHS1_HUMAN
T96060000196	3BHS1_HUMAN
T96060000197	3BHS2_HUMAN
T96060000198	3BHS7_HUMAN
T96060000199	3BHS7_HUMAN
T96060000200	3BP2_HUMAN
T96060000201	3BP2_HUMAN
T96060000202	3BP5L_HUMAN
T96060000203	3BP5L_HUMAN
T96060000204	3HIDH_HUMAN
T96060000205	3MG_HUMAN
T96060000206	3MG_HUMAN
T96060000207	3MG_HUMAN
T96060000208	4EBP2_HUMAN
T96060000209	4EBP2_HUMAN
T96060000210	4EBP2_HUMAN
T96060000211	4EBP3_HUMAN
T96060000212	4EBP3_HUMAN
T96060000213	4ET_HUMAN
T96060000214	5HT3A_HUMAN
T96060000215	5HT3B_HUMAN
T96060000216	5HT3C_HUMAN
T96060000217	5HT3C_HUMAN
T96060000218	5HT3D_HUMAN
T96060000219	5HT3D_HUMAN
T96060000220	5HT3E_HUMAN
T96060000221	5HT3E_HUMAN
T96060000222	5HT4R_HUMAN
T96060000223	5HT5A_HUMAN
T96060000224	5HT5A_HUMAN
T96060000225	5HT6R_HUMAN
T96060000226	5HT6R_HUMAN
T96060000227	5HT7R_HUMAN
T96060000228	5HT7R_HUMAN
T96060000229	5HT7R_HUMAN
T96060000230	5NT1A_HUMAN
T96060000231	5NT1A_HUMAN
T96060000232	5NT1B_HUMAN
T96060000233	5NT1B_HUMAN
T96060000234	5NT3B_HUMAN
T96060000235	5NT3B_HUMAN
T96060000236	5NT3B_HUMAN
